title,date_published,news_outlet,authors,text
The Coming Middle East Conflagration,2019-11-04,TheAtlantic,['Michael Oren'],"This article was updated on Monday, November 4, at 7:35 pm.The senior ministers of the Israeli government met twice last week to discuss the possibility of open war with Iran. They were mindful of the Iranian plan for a drone attack from Syria in August, aborted at the last minute byan Israeli air strike, as well as Iran’s need to deflect attention from the mass protests against Hezbollah’s rule in Lebanon. The ministers also reviewed the recent attack by Iranian drones and cruise missiles on two Saudi oil installations, reportedly concluding that a similar assault could be mounted against Israel from Iraq.The Israel Defense Forces, meanwhile, announced the adoption of an emergency plan, code-named Momentum, to significantly expand Israel’s missile defense capacity, its ability to gather intelligence on embedded enemy targets, and its soldiers’ preparation for urban warfare. Israeli troops, especially in the north, have been placed on war footing. Israel is girding for the worst and acting on the assumption that fighting could break out at any time."
How to Talk About the Middle East,2023-11-07,TheAtlantic,['Conor Friedersdorf'],"Welcome to Up for Debate. Each week, Conor Friedersdorf rounds up timely conversations and solicits reader responses to one thought-provoking question. Later, he publishes some thoughtful replies.Sign up for the newsletter here.Last week, Inotedthe polarizing conflict in the Middle East and asked how citizens of faraway countries should handle differences about the best way forward so as not to tear their own societies apart.Replies have been edited for length and clarity.Charles counsels restraint:"
How the Six-Day War Transformed Religion,2017-06-05,TheAtlantic,['Sigal Samuel'],"Fifty years ago this week, the Six-Day War dramatically altered geographic borders and political fortunes in the Middle East. For Israelis, the stunning 1967 victory meant an expanded country that suddenly included East Jerusalem, the West Bank, the Gaza Strip, the Golan Heights, and the Sinai Peninsula; for Palestinians, it meant occupation and more displacement; for surrounding Arab countries, it meant crushing military and reputational defeat.But the Six-Day War didn’t only transform Middle East politics: It also transformed religion—in ways that would reverberate far beyond the region. The war’s outcome impacted the way Islam is expressed in the West Bank and Gaza, and it created new openings for political Islamism in the Arab world. It strengthened a messianic strain in Israeli Judaism, and it changed the focal point of American Judaism. It forced an internal reckoning among evangelical Christians, and even among Mormons, in the United States.I asked writers with expertise and experience in each of these contexts to discuss how 1967 changed religion, broadly interpreted. Religion is often thought of as a force that drives conflict; I invited them to think instead about how conflict impacts religion. The six writers’ responses, which I’ve edited and included below, touch on everything from fashion to theology, demonstrating the many ways religion inflects people’s lives."
America Is Lucky That Biden’s in Charge,2023-10-25,TheAtlantic,['Michael McFaul'],"President Joe Biden and his national-security team began their time in office in 2021 intending to concentrate on confronting China’s rise. The state of the world has not allowed such a singular focus. First came the American withdrawal from Afghanistan and the Taliban’s return to power. Next was Russia’s full-scale invasion of Ukraine. Now Hamas has carried out its barbaric terrorist attack against Israeli citizens, triggering a forceful response from Israel and potentially a major interstate war in the Middle East.Americans are lucky to have President Biden and his foreign-policy team in charge of national security right now. Their experience and knowledge extend not just to China and Asia but to the world, and they have made smart moves in defense of American interests and values.From the start, Secretary of State Antony Blinken and President Biden both traveled to Israel to signal strong American support for a democratic ally. In times of crisis, allies need to show up; once there, Blinken and Biden delivered appropriate messages about shared values, Israel’s right to self-defense, and Hamas’s illegitimacy and terrorist intent. Biden also pledged more military assistance to Israel and requested that Congress secure the necessary funds. (It would be nice if the majority in our House of Representatives could show a little more leadership during this time of crisis, but that’s another matter.)"
Talking About Gaza in a Jerusalem Hospital,2023-12-06,TheAtlantic,['Pesach Lichtenberg'],"For most of my career, working as a psychiatrist in Jerusalem, I have run locked wards, serving people in distressed states who cannot remain in the community because of their need for round-the-clock care.This life, indeed much life in Israel, feels precarious right now. The first air-raid sirens in more than a week have begun sounding in Jerusalem as I write. The comparisons between the Hamas attack of October 7 and the Holocaust reveal the extent to which our complacency has been shattered.That the residents of Gaza have it far worse is undeniably true. My 6-year-old son drew a self-portrait depicting himself supine, a bomb descending upon him, and I got upset. I would not trade places with the families carrying their bloodied children into the emergency rooms of Gaza, with no place but the floor to rest them between the wounded and dead. Just writing these words, I cry. And I’m outraged that Hamas could knowingly, willingly, invite this retribution for the atrocities it inflicted."
What Is Israel Trying to Accomplish?,2023-10-17,TheAtlantic,['Graeme Wood'],"This article was featured in One Story to Read Today, a newsletter in which our editors recommend a single must-read fromThe Atlantic, Monday through Friday.Sign up for it here.Israel’s invasion of Gaza awaits the parting of clouds. Clear skies favor Israel, which dominates the airspace and wants to be able to look down to see what awaits its ground forces. Early morning yesterday brought rain, and at dawn, orange cumulus clouds rolled over the Mediterranean. Today’s forecast calls for more rain, and therefore probably another day without Israeli infantry in Gaza. Rarely has the Weather Channel been such ominous and thrilling viewing.Everyone knows the invasion is coming. Less obvious is what it will ultimately bring for Palestinians. Within about a day of Hamas’s attack on October 7, an Israeli consensus emerged that no response short of total annihilation of Hamas would suffice. A second, corollary consensus didn’t take much longer: To annihilate Hamas, Israel would have to invade Gaza. Hamas has given Israel the best possible excuse to do so. Hamas hides in the civilian population, stores its weapons there, and fires those weapons from civilian areas. It does this by choice. And that gives Israel the rationale of self-defense, the most ironclad right of either a person or a nation."
Party of One,2023-08-24,TheAtlantic,['Peter Wehner'],"This article was featured in One Story to Read Today, a newsletter in which our editors recommend a single must-read fromThe Atlantic, Monday through Friday.Sign up for it here.Last night’s GOP presidential debate featured eight candidates, none of them named Donald Trump, but it was the former president who won the night. His aggregate lead in the national polls is titanic—he is more than 40 points ahead of the fast-fading Ron DeSantis—and nothing that happened on the debate stage in Milwaukee will change that.Those who watched the debate will, for a few hours anyway, remember certain moments, good and bad, and take away certain impressions, positive and negative.For my part, I thought two former governors, Nikki Haley and Chris Christie, were the most impressive. Haley was particularly strong on foreign policy, lacerating Vivek Ramaswamy for his stances on Ukraine (hand it over to Russia), Israel (cut funding), and China (abandon Taiwan). “You don’t do that to friends,” the former United Nations ambassador said, attacking his stance on Israel. “What you do instead is you have the backs of your friends.” She added, “You have no foreign-policy experience, and it shows!” Haley also called out Republicans for promising in campaigns to cut spending and then, when in power—especially during the Trump presidency—increasing it."
Biden’s Test in the Middle East,2023-10-14,TheAtlantic,['The Editors'],"President Joe Biden is facing one of the most difficult tests in his decades of experience shaping U.S. foreign policy: how to support Israel in the war against Hamas while preventing additional conflict from breaking out in the region.Joining the editor in chief ofThe Atlanticand moderator, Jeffrey Goldberg, this week to discuss this and more: Susan Glasser, a staff writer atThe New Yorker; David Ignatius, a columnist atThe Washington Post; Mary Louise Kelly, a co-host ofAll Things Consideredon NPR; and Vivian Salama, a national-security reporter atThe New York Times."
London’s Day of Creeping Extremism,2023-11-11,TheAtlantic,['Helen Lewis'],"Updated at 10:15 a.m. ET on November 13, 2023How do youdecide who owns a country? At 10:30 this morning in London, a group of black-clad men were gathered about 100 meters from the Cenotaph, Britain’s most famous war memorial. They were chanting. “We want our country back,” went one refrain, followed by “You’re not English, you’re not English, you’re not English anymore.”This group was—as another of their chants put it—“Tommy’s Army.” That refers to Tommy Robinson, the pseudonym of Stephen Yaxley-Lennon, aconvicted mortgage fraudsterwho is the former head of a far-right, anti-Muslim group called the English Defence League. Robinson was here, somewhere, in person—and as of last week, he was back on X (formerly Twitter), five years after being “permanently suspended.” Violence and disorder follow him around, so London’s Metropolitan Police haddrafted reinforcements from around Britainto deal with the situation. Walking down Whitehall, a long, open road stretching from Trafalgar Square to Westminster, I saw police vans from Durham and Northumbria, in the north of England, and some officers wore caps readingHEDDLU, the Welsh word for police.The police had penned Tommy’s Army into a narrow stretch of sidewalk, from which they were roaring and throwing the occasional bottle. Today is Armistice Day, which commemorates the end of World War I. Less than half an hour before Britain was due to observe two minutes of silence for its combat dead, I watched as the right-wing group charged the police line and broke through it, then seemed unsure what to do next."
The Three Biggest Misconceptions About Israel’s Upheaval,2023-04-10,TheAtlantic,['Yair Rosenberg'],"For the past three months, Israelis have been protesting across the country against the attempted overhaul of their judicial system by Prime Minister Benjamin Netanyahu’s hard-right coalition. In February, a surveyfoundthat nearly one in five Israelis had taken part in a demonstration. This unprecedented activismculminatedin a national strike at the end of March that compelled Netanyahu to pause, but not abandon, his efforts to push through the legislation. Today, representatives of the two sides sat down to continue negotiations toward a potential compromise. Yet despite all the coverage these events have rightly received, I’ve noticed a fair number of fallacies circulating about why they came about and what’s driving them.Myth 1: The protests are about whether Israel should reform its judiciary.Internationalcoverageof the Israeli unrest often casts the controversy in binary terms: Some Israelis support judicial reform; others oppose it. But the story is more complicated. In fact, there is broad consensus that the country’s Supreme Court is overly powerful and should be reined in. At present, the body effectively appoints its own members and exercises authority over politicians and policy that is unique in the democratic world. Back in 2007, the American judge and legal commentator Richard PosnerlabeledAharon Barak—the Israeli chief justice most responsible for the expansion of the court’s capabilities—an “enlightened despot.” The leaders of several Israeli opposition parties havethemselvessoughtto correct this imbalance in Israel’s internal affairs."
Tense Days in Hebron,2017-01-28,TheAtlantic,['Zach Dorfman'],"Last year was a violent one in Hebron, the largest city in the West Bank. In March 2016, video footage filmed by a Palestinian and released by the Israeli human rights organization B’Tselem showed Elor Azaria, a 20-year-old Israeli Defense Forces (IDF) soldier, shooting an incapacitated Palestinian attacker in an execution-style killing, in the city’s Tel Rumeida neighborhood. In late June 2016, a Palestinianstabbed a 13-year-old Jewish girlto death while she slept in her bed in Kiryat Arba, an Israeli settlement contiguous to Hebron. A Hamas terroristfired on a settlerfamily driving south of the city, killing the father, and injuring the mother and children in early July. (In response, the IDF imposed harsh travelrestrictionsfor the roughly 900,000 Palestinians in the Hebron district, and cut off all outside access to the nearby al-Fawar refugee camp for 26 days.) Stabbing and ramming attacks by Palestinians in the area continued over the fall; in many cases, the IDF killed the assailants.Then, in early January 2017, in a divisive verdict, a military court headed by three judges foundAzaria guilty of manslaughter. The verdict exacerbated tensions between the IDF and right-wing Israeli politicians whoexcoriated the militaryfor pursuing the case in the first place. Prime Minister Benjamin Netanhayu, Education Minister Naftali Bennett, and other Israeli politicians, haveeven called for Azaria’s pardon. When the verdict came down, the Netanyahu government was still reeling from the Obama administration’s decision in late December to abstain from vetoing a UN Security Council resolution reaffirming long-standing international consensus: that Israel’s settlement-building in the territories it has occupied since 1967 is illegal under international law. (Historically, U.S. officials have massaged the issue by calling settlements “obstacles to peace” and refrained from explicitly referencing their illegality.) Several days later, Secretary of State John Kerry delivered a speech on Israel and Palestine also largely recapitulating U.S. policy in the region.Again, the Netanyahu government howled in protest."
The Three Crises Sparked by Trump's Withdrawal From the Iran Deal,2018-05-08,TheAtlantic,['David Frum'],"President Trump has just pushed the plunger on a sequence of crises.The first will be a crisis with allies and other partners. Will they agree to reimpose their sanctions on Iran? It’s not justNATOcountries that will have to be cajoled or coerced. Complying with UN-voted sanctions, Indiareducedits dependence on Iranian crude oil from 13 percent of its imports in 2009–2010 to 5 percent in 2014–2015. Iran, the second-largest oil supplier to the world’s third-biggest oil importer before the sanctions hit, is rapidly recovering its market share—and Indiaplansto double its imports in the coming year. What’s the plan for getting India back on board?China has emerged as Iran’s largest trading partner. Its trade with Iranjumped30 percent in the first six months of 2017. China hasextendedcredits to Iran totaling some $35 billion, a significant sum for the shaky Iranian economy. Who will make China stop?America’s European allies have been more cautious about expanding trade with Iran. Yet will their publics allow their governments to follow the despised and distrusted Trump administration into an escalating confrontation with Iran? Fifty-six percent of Germansdescriberelations with the United States as bad or very bad.Trump has never valued allies or partners. The only relationship he understands is one of power: He commands; others obey. But on Iran, the most relevant partners are precisely those who cannot be compelled to obey. Perhaps he imagines he can blackmail them:Join me in imposing new sanctions or else I’ll start a war that you will like even less. That is a bluff at serious risk of being called.The second is a crisis with Iran itself. One bad consequence of President Obama’s 2015 deal is that Iran is now a better-armed, better-financed adversary than it was then. Thanks in great measure to Trump’s own decisions, Iran has also gained a big victory for Assad’s client regime in Syria. It can retaliate against U.S. interests in all kinds of ways. It can escalate its terror campaign against Israel by using Hezbollah and Hamas. It can green-light a hot war against Israel in Gaza. It can also accelerate its drive for outright nuclear-weapons-state status."
Democrats Are Falling Into the Ilhan Omar Trap,2019-04-14,TheAtlantic,['David Frum'],"Many of President Donald Trump’s tweets backfire, but not his tweetattackon U.S. Representative Ilhan Omar. That one tweet succeeded to perfection. Trump wishes to make Omar the face of the Democratic Party heading into the 2020 elections—and now he has provoked Democrats to comply.Elizabeth Warren and Bernie Sanders have offered full-throated endorsements of Omar. “Ilhan Omar is a leader with strength and courage. She won’t back down to Trump’s racism and hate, and neither will we. The disgusting and dangerous attacks against her must end,” Sanderstweeted. Kamala Harris, Beto O’Rourke, and Pete Buttigieg have expressed themselves more circumspectly, but have still aligned themselves with her in ways not easy to undo. “We are stronger than this president’s hatred and Islamophobia. Do not let him drive us apart or make us afraid,” O’Rourketweeted. Of the 2020 hopefuls, only Amy Klobuchar added anycaveatto her statement about Omar. (“You can disagree with her words—as I have done before—but this video is wrong.”) Joe Biden and Cory Booker have thus far refrained from comment.Having promised not to “let him drive us apart” from Omar, Democrats are now stuck with responsibility for the reckless things the representative from Minnesota says, not only about Jews, but about other issues, too. Omar has already served notice that she does not intend to behave more circumspectly in the future. In a Friday-night interview, Stephen Colbert asked Omar whether she would heed House Speaker Nancy Pelosi’s advice to back-bench it for a while. Omar answered, “I think Nancy knows this very well. Women have been told to go slow and not be seen and not be heard for many years. She wouldn’t have made it to where she is if she did. And it’s certainly the case for minority women … We are not there to be quiet. We are not there to be invisible. We are there to follow the lead of people like Congressman John Lewis and make good trouble.”"
Why Aren’t We Evacuating Americans From Sudan?,2023-04-25,TheAtlantic,['Elliot Ackerman'],"On Saturday, Special Operations Forces successfullyevacuatedfewer than 100 U.S.-embassy personnel from Sudan. Then, in a startling break with American precedent, the State Department announced that it would not request further evacuations of trapped U.S. citizens from a country descending into violent conflict. There are currently 16,000 Americans reported in Sudan, and the U.S. embassy is in touch with at least several hundred who are actively trying to get out.The United States has, for decades, considered its commitment to its citizens abroad to be sacrosanct. For this reason, until very recently, the evacuation of noncombatants from conflict zones—known as a Noncombatant Evacuation Operation—was a relatively common and quintessentially American mission. When conditions deteriorate in a country, the U.S. ambassador can call for a NEO, and a Marine Expeditionary Unit or the Immediate Response Force of the 82nd Airborne will mobilize to get American citizens—not just American diplomats—evacuated to safety. During a NEO, the ambassador becomes the president’s direct representative on-site, in charge of coordinating who departs, how they depart, and when.No such effort is being proposed in Sudan. In acallwith the press over the weekend, State Department Undersecretary for Management John Bass said that “we don’t foresee coordinating a U.S. Government evacuation for our fellow citizens in Sudan at this time or in the coming days.” He also noted that the State Department has had a travel advisory in place for more than a decade cautioning Americans not to travel to Sudan."
"No Matter Who Wins the Syrian Civil War, Israel Loses",2018-08-29,TheAtlantic,['David Kenner'],"If you want to understand Israel’s ambivalence about the outcome of Syria’s war, look no further than Avigdor Lieberman. In 2016, Lieberman, Israel’s hawkish defense minister,condemnedBashar al-Assad, the president of Syria, as a “butcher.” He asserted Israel’s moral imperative to oppose genocide, born from the Holocaust, as a reason to oppose the Syrian government’s massacres. It is in Israel’s interest, headded, that Assad and his Iranian allies “be thrown out of Syria.” Fast forward to earlier this month. While touring Israeli air-defense units, Liebermanstruck an optimistic noteabout Assad’s gaining strength, saying it means “there is a real address, someone responsible, and central rule” in Syria. Asked whether he believed this would decrease the possibility of clashes on Israel’s northern border, he said: “I believe so. I think this is also in Assad’s interest.”Those two positions represent Israel’s conflicted priorities in Syria. On the one hand, Assad is Iran’s most important ally in the Arab world—the state he rules provides Tehran with access to Israel’s northern border, and facilitates the flow of weapons to Hezbollah. On the other hand, Assad—his government’s fiercely anti-Israel rhetoric notwithstanding—represents a known quantity to Israel, unlike the chaotic tangle of Sunni militias and jihadist organizations that would replace him. Until recently, Israel’s border with Syria had been its quietest frontier for four decades."
Why Israeli Security-Service Agents Wanted to Talk With Charlottesville’s Mayor,2023-11-09,TheAtlantic,['Michael Signer'],"During the fall of 2022, my family and I lived in Tel Aviv, where my wife and I were visiting professors at Reichman University, in Herzliya. I taught a class called “Democracy and Dictatorship.” It was a fraught time. Almost all of my students were in the military or veterans. Several were deeply concerned that Benjamin Netanyahu would bring a new era of antagonistic nationalism to Israel, at a time when they felt the country needed cohesion instead. One said she would likely leave the country if he won.As the former mayor of Charlottesville, Virginia, I was asked to speak at the university’s annual World Summit on Counter-Terrorism conference, on a panel about the dangers of far-right terrorism in the United States. In my presentation, I recounted a chilling conversation I’d had in June 2017 with a civil servant from the U.S. State Department’s Bureau of Counterterrorism. He told me that Trump-administration officials had basically instructed his office to stop talking about white nationalists when they referred to domestic terrorism in the United States. He implied that this decision had been made for domestic political reasons.Two months later, Charlottesville was invaded by multiple violent white-nationalist militias who’d plotted their attack secretly on the gaming chat app Discord. Federal agencies, such as the Department of Homeland Security, the FBI, and the Department of Justice, supposedly dedicated to preventing just this sort of incident, were absent from the scene."
A Six-Figure Settlement on Campus Free Speech ,2015-11-12,TheAtlantic,['Adam Chandler'],"As debates roil overfree speech on American college campusesand as mechanisms that critique Israeli policiescontinue to divide, the universedelivered a perfect enmeshingof both stories in the Land of Lincoln.On Thursday, the University of Illinois at Urbana-Champaign reached a settlement with Steven Salaita, a professor who had a job offer revoked by the school after he tweeted incendiary statements about Israel during the country’s war with Hamas in Gaza last summer.Here was one such tweet:The university was bombarded by letters from angry students, parents, donors, and alumni, which ultimately led to thescuttling of his appointmentby the college’s trustees. At the time, University Chancellor Phyllis Wise argued that Salaita’s beliefs were not the issue, but ratherthe tenor of his statements:"
Why the Most Hated Man in Israel Might Stay in Power,2023-11-16,TheAtlantic,['Graeme Wood'],"Updated at 9:50 a.m. ET on November 27, 2023After Hamas’s October 7 assault on Israel, vigils and demonstrations broke out in Tel Aviv, mourning the dead and demanding the return of the hostages. One popular photo showed a lone woman with a hand-drawn sign that proposed a trade:Bibi for the Hostages. Remarkably few Israelis would, in those early days of the war, have objected. Bibi—Benjamin Netanyahu—was prime minister during the worst sneak-attack in the country’s history, and the disgust at his government’s failure was universal. A survey recently found that only 4 percent of Jewish Israelis ranked him as the most reliable of Israeli public figures. His overall approval rating recently clocked in at 27 percent, which for a wartime leader is desperately low, comparable to what a politician gets when (as Selina Meyer put it inVeep) “running on a platform of higher taxes and episiotomies.”So why is Netanyahu still in office—and why do I keep meeting people who think he’ll still be there for a long time to come? Even Israelis who despise him, and would give him to Hamas gratis, acknowledge that it would be senseless for him to step down in the middle of a war. Once it’s over, he’ll have his political reckoning—and although I suspect he will no longer be prime minister in a year’s time, betting against Netanyahu’s survival is like betting against the house. He might be too shameless to step down, and too entrenched to be forced into retirement. The problem, in short, is that there might be no one who both stands ready to replace Netanyahu and can command the confidence of enough Israelis to form a government."
Elon Musk’s Disturbing ‘Truth’,2023-11-16,TheAtlantic,['Yair Rosenberg'],"This article was featured in the One Story to Read Today newsletter.Sign up for it here.The Hebrew Immigrant Aid Society “likes to bring invaders in that kill our people … Screw your optics, I’m going in.” Those were the last wordsposted onlineby Robert Bowers before he massacred worshippers at Pittsburgh’s Tree of Life synagogue in 2018. It was the single deadliest anti-Semitic attack in American history. In previous postings, Bowers explained the grievances that led him to commit mass murder. He sharedmemeaftermemeasserting that Jews were conspiring to flood the country with brown people in order to oppose and displace the white race. “Open you Eyes!”declared one. “It’s the filthy EVIL jews Bringing the Filthy EVIL Muslims into the Country!”On Wednesday night, the world’s wealthiest man affirmed this same conspiracy theory on X, formerly Twitter, the social-media site he owns. Like so many of Elon Musk’s acts of self-immolation, it happened in the space of a tweet. The incident began with a post from a conservative Jewish user who complained about anti-Semitic content on social media during the current Gaza conflict. “To the cowards hiding behind the anonymity of the internet and posting ‘Hitler was right,’” he wrote. “You got something you want to say? Why dont you say it to our faces.” A small-time white-nationalist account soon responded by attributing this anti-Semitism to minorities, and blaming it on the Jews:"
"After 30 Years in Israel, I See My Country Differently",2023-07-28,TheAtlantic,['Matti Friedman'],"Israel in the past six months has felt like a madhouse, a political protest the size of New Jersey, an unending traffic jam, a lab for bad ideas, a glimpse of the future of Western democracy in the social-media age. It has also been a classroom, even for those of us who think we’re experts. I’ve lived and written here for nearly 30 years. But as I stood among thousands of other protesters outside the Knesset on Monday, the midday heat so strong that I almost longed for relief from the police water cannon, I realized that I was learning to see the country with new eyes.Inside the Knesset, the most extreme government in Israel’s history was legislating the first stage of its plan to move power from the courts and into its own hands, changing the rules of the democratic game. The law passed. The protest couldn’t stop it. One opposition lawmakerdescribedit as the hardest day of his life, and he used to be the No. 2 man in the Mossad. Like many people here, I’ve been at a demonstration almost every week since the beginning of the year. This one had the same chanting and flag-waving, but it seemed desperate, with an undercurrent less of defiance than of fear. A chapter in Israeli history was ending. We don’t know what comes next."
Stop Saying 'Smart Cities',2018-02-12,TheAtlantic,['Bruce Sterling'],"The term “smart city” is interesting yet not important, because nobody defines it. “Smart” is a snazzy political label used by a modern alliance of leftist urbanites and tech industrialists. To deem yourself “smart” is to make theNIMBYites and market-force people look stupid.Smart-city devotees all over this world will agree that London is particularly smart. Why? London is a huge, ungainly beast whose cartwheeling urban life is in cranky, irrational disarray. London is a god-awful urban mess, but London does have some of the best international smart-city conferences.London also has a large urban-management bureaucracy who emit the proper smart-city buzzwords and have even invented some themselves.  The language of Smart City is always Global Business English, no matter what town you're in.So if grand old London is smart, with its empty skyscrapers, creepy CCTV videocams, and sewers plugged with animal fat, then we probably needn’t fret about the Elon Musk sequins and stardust of digital urbanism. Better to reimagine the forthcoming urban future as a mirror of Rome, that “Eternal City,” where nothing much ever gets tech-fixed, but everything changes constantly so that everything can remain the same.Rome and London are two huge, sluggish beasts of cities that have outlived millennia of eager reformers. They share a world where half the people already live in cities and another couple billion are on their way into town. The population is aging quickly, the current infrastructure must crumble and be replaced by its very nature, and climate disaster is taking the place of the past’s great urban fires, wars, and epidemics. Those are the truly important, dull but worthy urban issues."
"Think Strategy, Not Tactics",2023-11-01,TheAtlantic,['Eliot A. Cohen'],"Too much of the commentary on the war in Gaza begins with tactics, which are concerned with achieving small, concrete military objectives, such as taking a hill or launching an ambush. Tactics and operations (the combination of a number of tactical engagements) in turn support strategy, the matching of military and other means to political objectives. It is with strategy that an understanding of this conflict should begin. War is horrifying. But if we wish to understand its likely course, we should not start by focusing on the grimness of urban warfare, the particular hellishness of battles in tunnels, or the difficulties of separating civilians and combatants in an urban setting. Instead, we must ask how both sides conceive their objectives and the broadest ways in which they intend to use force to achieve them.Both sides are driven by total objectives. For Hamas, this is nothing new: In its 1988 covenant, it committed itself to the annihilation of the state of Israel, and then and since, to the extermination of as many of its citizens as possible. Like most extreme Islamist movements, it distinguishes only loosely, or not at all, between Jews and Israelis. This objective justifies in its view the ultimate in violence, all of which was horrifically on display in the October 7 massacre, accompanied by the murder of children, rape, torture, beheading, and kidnapping. Behind its strategy is a long-term theory of victory: that such attacks, coupled perhaps with strikes by Hezbollah and Iran, or the risings of Palestinians in the West Bank, will cause Israel to collapse. In Hamas’s view, Israeli counterattacks on Gaza, which will inevitably kill many civilians, contribute to its objectives because they undermine support for Israel abroad, and inflame its many enemies."
Grieving Parents Are Turning to Posthumous IVF,2019-02-26,TheAtlantic,"['Shira Rubin, Undark']","More than four years ago, Liat Malka waited anxiously for a sperm sample from a deceased man she had never met to fertilize her solitary egg in a hospital petri dish. The Israeli kindergarten teacher hoped to undergo in vitro fertilization and was disappointed when, in the first attempt, her egg and the donor sperm failed to create a viable embryo. The next month, though, brought success. Malka had the embryo transferred into her uterus and nine months later gave birth to Shira, whose name was chosen because it means both “song” and “prayer” in Hebrew.Sometimes, Shira looks at a picture of her father. In a two-bedroom apartment in the southern Israeli city of Ashkelon that she shares with her mother and grandmother, Shira has grown up seeing this man smiling back at her with a wide grin and kind, bespectacled eyes. When she was younger, she called him by his first name, Baruch. Recently, Malka has been trying to get her to call him Daddy. “Look how nicely he smiles. That’s Daddy,” says Malka, gently, as they stand in front of the photo."
Yemen Is Not a Sideshow,2018-06-12,TheAtlantic,['Barbara A. Leaf'],"After three years of a grinding, bloody stalemate, the war in Yemen may be reaching an inflection point. Hoping to deliver a knockout blow, the joint United Arab Emirates’ and Yemeni forces are moving up the Red Sea coast towards the port city ofHodeidah. The UAE aims to wrest it from the Houthi rebels, and, in so doing, deprive them of vital revenues, strike a psychological blow, and pressure them to the negotiating table.Yet even if Hodeidah falls, there is no end in sight for this conflict, whose third anniversary was eclipsed by a recent, splashy visit to the United States from Saudi Crown Prince Mohammed bin Salman. The ambitious young royal launched the war in March 2015 along with the UAE and several other nations to restore the legitimate government of Yemen. Backed by limited U.S. military support, Riyadh and Abu Dhabi sought to disrupt Iran’s nascent efforts to turn the Houthis into a proxy force, and to contain the Islamic State and al-Qaeda in the Arabian Peninsula.If the Obama administration was never enthusiastic about the Saudi-Emirati enterprise in Yemen, it showed sustained interest in bringing the conflict to an end via a political process, and lent direct U.S. leadership to the effort in its final year. The Trump administration entered office with a stated commitment to knitting up frayed relations with the Gulf and focusing on Iran’s destabilizing activities across the region. Yet ironically, that never translated into a senior-level focus on Yemen, where those strands come tightly together. In fact, U.S. support for the coalition’s campaign has largely been on auto-pilot, when what its Gulf partners needed most over the past 18 months was a sustained diplomatic effort to enable a credible negotiated settlement."
The Inflection Point,2023-10-20,TheAtlantic,['Peter Wehner'],"The significance of President Joe Biden’s Oval Office address to the nation last night was signaled in the opening sentence: “We’re facing an inflection point in history.”What followed was a speech that may well define Biden’s presidency.The proximate cause for the speech was Biden’s desire to urge Americans to stand with Israel in its war against Hamas and Ukraine in its war against Russia. The president is expected to ask Congress for emergency assistance for the two nations in a $100 billion spending package. But the speech was not primarily about money; it was about America’s teleology, about how Biden sees the role of the United States in a world that is fraying and aflame.Biden used phrases loaded with meaning. America is “the arsenal of democracy,” he said, invoking a phrase from a 1940 speech by Franklin D. Roosevelt. But in case that wasn’t clear enough, Biden said America is “the essential nation” and the “indispensable nation.” It “holds the world together,” Biden said. Israel and Ukraine are 1,200 miles apart. The conflicts are quite different; Ukraine is battling a world power, and Israel a terrorist organization. But Biden twinned the two conflicts, presenting the outcome of these wars as vital to America’s national security."
Trump Will Abandon NATO,2023-12-04,TheAtlantic,['Anne Applebaum'],"“Idon’t givea shit about NATO.” Thus did former President Donald Trump onceexpress his feelingsabout America’s oldest and strongest military alliance. Not that this statement, made in the presence of John Bolton, the national security adviser at the time, came as a surprise. Long before he was a political candidate, Trumpquestioned the value of American alliances. Of Europeans,he once wrotethat “their conflicts are not worth American lives. Pulling back from Europe would save this country millions of dollars annually.” NATO, founded in 1949 and supported for three-quarters of a century by Democrats, Republicans, and independents alike, has long beena particular focus of Trump’s ire. As president, Trump threatened to withdraw from NATO many times—including, infamously, at the 2018 NATO summit.But during Trump’s time in office, the withdrawal never happened. That was because someone was always there to talk him out of it. Bolton says he did; Jim Mattis, John Kelly, Rex Tillerson, Mike Pompeo, and even Mike Pence are thought to have done so too.But they didn’t change his mind. And if Trump is reelected in 2024, none of those people will be in the White House. All of them have broken with the former president,in some cases dramatically, and there isn’t another pool of Republican analysts who understand Russia and Europe, because most of them eithersigned statements opposing him in 2016or criticized him after 2020. In a second term, Trump would be surrounded by people who either share his dislike of American security alliances or don’t know anything about them and don’t care. This time, the ill will that Trumphas always felt toward American allieswould likely manifest itself in a clear policy change. “The damage he did in his first term was reparable,” Bolton told me. “The damage in the second term would be irreparable.”Institutionally, and maybe even politically, leaving NATO could be difficult for Trump. As soon as he announced his intentions, a constitutional crisis would ensue. Senate approval is required for U.S. treaties—but the Constitution says nothing about congressional approval for withdrawal from treaties. Recognizing this gap in the law, Democratic Senator Tim Kaine and Republican Senator Marco Rubio introduced legislation, which has already passed the Senate, designed toblock any U.S. president from withdrawing from NATOwithout two-thirds Senate approval or an act of Congress. Kaine told me he feels “confident that the courts would uphold us on that and would not allow a president to unilaterally withdraw,” but there would certainly be a struggle. A public-relations crisis would unfold too. A wide range of people—former supreme allied commanders, former chairmen of the Joint Chiefs of Staff, former presidents, foreign heads of state—will surely rally to make the case for NATO, and very loudly."
